Year,Facility,City ,State ,Zip Code Region,Address,CO2 Emissions,CH4 Emissions,N2O Emissions,Category
2013,FCA,STERLING HEIGHTS,MI,48300,35777 VAN DYKE,10336,5,5.96,low emitter
2013,FCA,TOLEDO,OH,43600,4400 CHRYSLER DRIVE,75359,35.5,42.32,high emitter
2013,FCA,WARREN,MI,48000,22800 MOUND RD.,6341,3,3.58,low emitter
2013,FCA,WARREN,MI,48000,21500 MOUND ROAD,105701,49.75,59.3,high emitter
2013,FCA,Warren,MI,48000,21035 Sherwood Avenue,5846,2.75,3.28,low emitter
2013,Tesla,Fremont,CA,94500,45500 Fremont Boulevard,28960.3,13.75,16.39,low emitter
2013,GMC,ARLINGTON,TX,76000,2525 EAST ABRAM STREET,48831.6,22.5,29.8,high emitter
2012,Ford,Brook Park,OH,44100,18300 Snow Road,12901.85,6.08,7.25,low emitter
2012,Ford,Claycomo,MO,64100,8121 NE Highway 69,66445.39,31.33,37.35,high emitter
2012,Ford,Louisville,KY,40200,3001 Chamberlain Lane,73162.66,34.5,41.12,high emitter
2012,Ford,Livonia,MI,48100,36200 Plymouth Road,27317.13,12.88,15.35,low emitter
2012,Ford,Louisville,KY,40200,2000 Fern Valley Road,42047.42,19.83,23.63,low emitter
2012,Ford,Wayne,MI,48100,38303 Michigan Avenue,62324.32,51.62,87.22,high emitter
2012,Ford,AVON LAKE,OH,44000,650 MILLER ROAD,44799.86,21.12,25.18,low emitter
2012,Ford,Dearborn,MI,48100,1601 Village Road,68238.64,32.18,38.35,high emitter
2012,Ford,Dearborn,MI,48100,3001 Miller Road,57744.09,27.23,32.46,high emitter
2012,Ford,SHARONVILLE,OH,45200,3000 SHARON ROAD,22146.15,10.44,12.45,low emitter
2012,Ford,Sterling Heights,MI,48300,39000 Mound Road,45457.2,21.43,25.55,low emitter
2012,Ford,SAINT PAUL,MN,55100,966 S. MISSISSIPPI RIVER BLVD.,4868.36,2.3,2.74,low emitter
2012,Ford,Chicago,IL,60600,12600 S. Torrence Avenue,46552.14,21.95,26.17,low emitter
2012,Ford,FLAT ROCK,MI,48100,1 INTERNATIONAL DR.,53956.85,25.44,30.33,high emitter
2012,General Motors,MILFORD,MI,48300,3300 GENERAL MOTORS RD. MC 483-340-141,23595.3,11,13.11,low emitter
2012,General Motors,KANSAS CITY,KS,66100,3201 FAIRFAX TRFCWY.,49119.2,23.25,27.71,high emitter
2012,General Motors,ROANOKE,IN,46700,12200 LAFAYETTE CENTER RD,58435.8,44.75,73.01,high emitter
2012,General Motors,LANSING,MI,48900,8175 MILLETT HWY,36549.7,17.25,20.56,low emitter
2012,General Motors,BEDFORD,IN,47400,105 GM DRIVE,31009.6,12476.25,16.39,low emitter
2012,General Motors,WARREN,OH,44400,2300 HALLOCK YOUNG ROAD,63699.4,30,59.9,high emitter
2012,General Motors,DETROIT,MI,48200,2500 EAST GENERAL MOTORS BOULEVARD,70741,176,302.47,high emitter
2012,General Motors,SAGINAW,MI,48600,1629 NORTH WASHINGTON AVENUE,39975.8,4607.75,22.35,low emitter
2012,General Motors,Lake Orion,MI,48300,4555 Giddings Road,23793.3,31.25,60.2,low emitter
2012,General Motors,Wentzville,MO,63300,1500 East Route A,125678.8,326.5,562.92,high emitter
2012,FCA,Belvidere,IL,61000,3000 West Chrysler Drive,85041,40,47.68,high emitter
2012,FCA,Auburn Hills,MI,48300,800 Chrysler Drive,44975,21.25,25.33,low emitter
2012,FCA,DETROIT,MI,48200,2101 CONNER AVENUE,70503,33.25,39.63,high emitter
2012,FCA,KOKOMO,IN,46900,1001 E. BOULEVARD,20758,9.75,11.62,low emitter
2012,FCA,KOKOMO,IN,46900,2401 S REED RD,35568,17,20.86,low emitter
2012,FCA,STERLING HTS,MI,48300,38111 VAN DYKE,66537,31.5,37.25,high emitter
2012,FCA,STERLING HEIGHTS,MI,48300,7150 METROPOLITAN PARKWAY,387,0.25,0.3,low emitter
2012,FCA,STERLING HEIGHTS,MI,48300,35777 VAN DYKE,8969,4.25,5.07,low emitter
2012,FCA,TOLEDO,OH,43600,4400 CHRYSLER DRIVE,64056,30.25,36.06,high emitter
2012,FCA,WARREN,MI,48000,22800 MOUND RD.,6183,3,3.58,low emitter
2012,FCA,WARREN,MI,48000,21500 MOUND ROAD,90470,42.75,50.96,high emitter
2012,FCA,Warren,MI,48000,21035 Sherwood Avenue,4457,2,2.38,low emitter
2012,GMC,ARLINGTON,TX,76000,2525 EAST ABRAM STREET,54742.6,25,29.8,high emitter
2011,Ford,Brook Park,OH,44100,18300 Snow Road,21109.01,9.95,11.86,low emitter
2011,Ford,Claycomo,MO,64100,8121 NE Highway 69,88975.97,41.95,50.01,high emitter
2011,Ford,Louisville,KY,40200,3001 Chamberlain Lane,75527.77,35.61,42.45,high emitter
2011,Ford,Livonia,MI,48100,36200 Plymouth Road,32986.83,15.55,18.54,low emitter
2011,Ford,Louisville,KY,40200,2000 Fern Valley Road,19095.81,9,10.73,low emitter
2011,Ford,Wayne,MI,48100,38303 Michigan Avenue,64501.68,52.39,87.87,high emitter
2011,Ford,AVON LAKE,OH,44000,650 MILLER ROAD,53091.15,25.03,29.84,high emitter
2011,Ford,Dearborn,MI,48100,1601 Village Road,74103.1,34.94,41.65,high emitter
2011,Ford,Dearborn,MI,48100,3001 Miller Road,60949.74,28.74,34.26,high emitter
2011,Ford,SHARONVILLE,OH,45200,3000 SHARON ROAD,25680.49,12.15,14.56,low emitter
2011,Ford,Sterling Heights,MI,48300,39000 Mound Road,49742.93,23.45,27.96,high emitter
2011,Ford,SAINT PAUL,MN,55100,966 S. MISSISSIPPI RIVER BLVD.,35462.96,16.76,20.06,low emitter
2011,Ford,Chicago,IL,60600,12600 S. Torrence Avenue,46916.28,22.13,26.39,high emitter
2011,Ford,FLAT ROCK,MI,48100,1 INTERNATIONAL DR.,53646.33,25.3,30.15,high emitter
2011,General Motors,MILFORD,MI,48300,3300 GENERAL MOTORS RD. MC 483-340-141,25295.7,12,14.6,low emitter
2011,General Motors,KANSAS CITY,KS,66100,3201 FAIRFAX TRFCWY.,50074.8,23.5,28.01,high emitter
2011,General Motors,ROANOKE,IN,46700,12200 LAFAYETTE CENTER RD,65551.2,51,83.74,high emitter
2011,General Motors,LANSING,MI,48900,8175 MILLETT HWY,42973.5,20.25,24.14,low emitter
2011,General Motors,BEDFORD,IN,47400,105 GM DRIVE,32425.5,12854.25,18.18,low emitter
2011,General Motors,WARREN,OH,44400,2300 HALLOCK YOUNG ROAD,72009.7,34,40.53,high emitter
2011,General Motors,DETROIT,MI,48200,2500 EAST GENERAL MOTORS BOULEVARD,85102.8,215.5,370.71,high emitter
2011,General Motors,SAGINAW,MI,48600,1629 NORTH WASHINGTON AVENUE,48404.7,8729.5,27.12,high emitter
2011,General Motors,Kokomo,IN,46900,2100 E. Lincoln Road,16540,7.75,625.8,low emitter
2011,General Motors,Wentzville,MO,63300,1500 East Route A,112037,294.25,507.49,high emitter
2011,FCA,Belvidere,IL,61000,3000 West Chrysler Drive,78517,37,44.1,high emitter
2011,FCA,Auburn Hills,MI,48300,800 Chrysler Drive,46826,22,26.22,high emitter
2011,FCA,DETROIT,MI,48200,2101 CONNER AVENUE,73390,34.5,41.12,high emitter
2011,FCA,KOKOMO,IN,46900,1001 E. BOULEVARD,20544,9.75,11.62,low emitter
2011,FCA,KOKOMO,IN,46900,2401 S REED RD,39158,20.25,28.01,low emitter
2011,FCA,STERLING HTS,MI,48300,38111 VAN DYKE,67820,32,38.14,high emitter
2011,FCA,STERLING HEIGHTS,MI,48300,7150 METROPOLITAN PARKWAY,500,0.25,0.3,low emitter
2011,FCA,STERLING HEIGHTS,MI,48300,35777 VAN DYKE,12819,6,7.15,low emitter
2011,FCA,TOLEDO,OH,43600,4400 CHRYSLER DRIVE,78317,37,44.1,high emitter
2011,FCA,WARREN,MI,48000,22800 MOUND RD.,5293,2.5,2.98,low emitter
2011,FCA,WARREN,MI,48000,21500 MOUND ROAD,93425,44,52.45,high emitter
2011,FCA,Warren,MI,48000,21035 Sherwood Avenue,5762,2.75,3.28,low emitter
2011,GMC,ARLINGTON,TX,76000,2525 EAST ABRAM STREET,53133.3,25,29.8,high emitter
2010,Ford,Brook Park,OH,44100,18300 Snow Road,83182.8,88.85,138.57,high emitter
2010,Ford,Claycomo,MO,64100,8121 NE Highway 69,92368.5,43.55,51.85,high emitter
2010,Ford,Louisville,KY,40200,3001 Chamberlain Lane,71972.1,33.93,40.53,high emitter
2010,Ford,Livonia,MI,48100,36200 Plymouth Road,35241.5,16.63,19.82,low emitter
2010,Ford,Louisville,KY,40200,2000 Fern Valley Road,36564.1,17.25,20.56,low emitter
2010,Ford,Wayne,MI,48100,38303 Michigan Avenue,54360.5,46.23,79.05,high emitter
2010,Ford,AVON LAKE,OH,44000,650 MILLER ROAD,51902,24.48,29.17,high emitter
2010,Ford,Dearborn,MI,48100,1601 Village Road,74962.7,35.35,42.02,high emitter
2010,Ford,Dearborn,MI,48100,3001 Miller Road,62425.6,29.43,35.17,high emitter
2010,Ford,SHARONVILLE,OH,45200,3000 SHARON ROAD,29501.5,13.99,16.81,low emitter
2010,Ford,Sterling Heights,MI,48300,39000 Mound Road,49529.5,23.35,27.83,high emitter
2010,Ford,SAINT PAUL,MN,55100,966 S. MISSISSIPPI RIVER BLVD.,30505.4,14.42,17.28,low emitter
2010,Ford,Chicago,IL,60600,12600 S. Torrence Avenue,38019.1,17.94,21.39,low emitter
2010,Ford,FLAT ROCK,MI,48100,1 INTERNATIONAL DR.,47541.1,22.43,26.73,high emitter
2010,General Motors,KANSAS CITY,KS,66100,3201 FAIRFAX TRFCWY.,56143.2,26.5,31.59,high emitter
2010,General Motors,ROANOKE,IN,46700,12200 LAFAYETTE CENTER RD,75744.3,51,86.72,high emitter
2010,General Motors,LANSING,MI,48900,8175 MILLETT HWY,40978.1,19.25,22.95,low emitter
2010,General Motors,BEDFORD,IN,47400,105 GM DRIVE,34441.6,16.25,19.37,low emitter
2010,General Motors,WARREN,OH,44400,2300 HALLOCK YOUNG ROAD,66920.4,31.5,37.55,high emitter
2010,General Motors,DETROIT,MI,48200,2500 EAST GENERAL MOTORS BOULEVARD,87548.5,219,376.67,high emitter
2010,General Motors,SAGINAW,MI,48600,1629 NORTH WASHINGTON AVENUE,50684.4,24,28.61,high emitter
2010,General Motors,Wentzville,MO,63300,1500 East Route A,106527.58,105770.1,278,high emitter
2010,FCA,Belvidere,IL,61000,3000 West Chrysler Drive,68218,32.25,38.44,high emitter
2010,FCA,Auburn Hills,MI,48300,800 Chrysler Drive,40998,19.25,22.95,low emitter
2010,FCA,DETROIT,MI,48200,2101 CONNER AVENUE,62826,29.5,35.16,high emitter
2010,FCA,KOKOMO,IN,46900,1001 E. BOULEVARD,26855,12.75,15.2,low emitter
2010,FCA,KOKOMO,IN,46900,2401 S REED RD,37466,18,22.35,low emitter
2010,FCA,STERLING HTS,MI,48300,38111 VAN DYKE,58876,27.75,33.08,high emitter
2010,FCA,STERLING HEIGHTS,MI,48300,7150 METROPOLITAN PARKWAY,414,0.25,0.3,low emitter
2010,FCA,STERLING HEIGHTS,MI,48300,35777 VAN DYKE,10626,5,5.96,low emitter
2010,FCA,TOLEDO,OH,43600,4400 CHRYSLER DRIVE,53610,25.25,30.1,high emitter
2010,FCA,WARREN,MI,48000,22800 MOUND RD.,5625,2.75,3.28,low emitter
2010,FCA,WARREN,MI,48000,21500 MOUND ROAD,90778,42.75,50.96,high emitter
2010,FCA,Warren,MI,48000,21035 Sherwood Avenue,5413,2.5,2.98,low emitter
2010,GMC,ARLINGTON,TX,76000,2525 EAST ABRAM STREET,56037.8,26.5,31.59,high emitter
