Year,Facility,City ,State ,Zip Code Region,Address,CO2 Emissions,CH4 Emissions,N2O Emissions,Category
2019,FCA,WARREN,MI,48000,21500 MOUND ROAD,85046.4,40,47.68,high emitter
2019,FCA,Warren,MI,48000,21035 Sherwood Avenue,5842,2.75,3.28,low emitter
2019,Tesla,Fremont,CA,94500,45500 Fremont Boulevard,23588.7,11,13.11,low emitter
2019,GMC,ARLINGTON,TX,76000,2525 EAST ABRAM STREET,45494.9,21.5,25.63,low emitter
2018,Ford,Claycomo,MO,64100,8121 NE Highway 69,89293.2,42,50.06,high emitter
2018,Ford,Louisville,KY,40200,3001 Chamberlain Lane,89671.9,42.25,50.36,high emitter
2018,Ford,Livonia,MI,48100,36200 Plymouth Road,12571.1,6,7.15,low emitter
2018,Ford,Louisville,KY,40200,2000 Fern Valley Road,64536.7,30.5,36.36,high emitter
2018,Ford,Wayne,MI,48100,38303 Michigan Avenue,64579.2,30.5,36.36,high emitter
2018,Ford,AVON LAKE,OH,44000,650 MILLER ROAD,33671,15.75,18.77,low emitter
2018,Ford,Dearborn,MI,48100,2450 Carroll Shelby Way,70435,33.25,39.63,high emitter
2018,Ford,Dearborn,MI,48100,3001 Miller Road,81445.5,38.25,45.59,high emitter
2018,Ford,SHARONVILLE,OH,45200,3000 SHARON ROAD,9273,4.25,5.07,low emitter
2018,Ford,Sterling Heights,MI,48300,39000 Mound Road,32736.8,15.5,18.48,low emitter
2018,Ford,Chicago,IL,60600,12600 S. Torrence Avenue,61465.5,29,34.57,high emitter
2018,Ford,FLAT ROCK,MI,48100,1 INTERNATIONAL DR.,52327.7,24.75,29.5,high emitter
2018,General Motors,MILFORD,MI,48300,3300 GENERAL MOTORS RD. MC 483-340-141,28699,13.5,16.39,low emitter
2018,General Motors,KANSAS CITY,KS,66100,3201 FAIRFAX TRFCWY.,31416.6,14.75,17.58,low emitter
2018,General Motors,ROANOKE,IN,46700,12200 LAFAYETTE CENTER RD,57479.4,87.25,173.44,high emitter
2018,General Motors,LANSING,MI,48900,8175 MILLETT HWY,48999.9,23,27.42,high emitter
2018,General Motors,BEDFORD,IN,47400,105 GM DRIVE,38036,9778,21.46,low emitter
2018,General Motors,WARREN,OH,44400,2300 HALLOCK YOUNG ROAD,56769.7,26.75,31.89,high emitter
2018,General Motors,DETROIT,MI,48200,2500 EAST GENERAL MOTORS BOULEVARD,5571.4,5,5.96,low emitter
2018,General Motors,SAGINAW,MI,48600,1629 NORTH WASHINGTON AVENUE,36169.9,6702.75,20.26,low emitter
2018,General Motors,Lake Orion,MI,48300,4555 Giddings Road,25435.6,35.25,69.14,low emitter
2018,General Motors,Wentzville,MO,63300,1500 East Route A,81476.2,38.5,45.89,high emitter
2018,General Motors,Spring Hill,TN,37100,100 Saturn Parkway,39553.1,18.75,22.35,low emitter
2018,FCA,Belvidere,IL,61000,3000 West Chrysler Drive,75682.9,35.75,42.61,high emitter
2018,FCA,Auburn Hills,MI,48300,800 Chrysler Drive,44125.3,20.75,24.73,low emitter
2018,FCA,DETROIT,MI,48200,2101 CONNER AVENUE,78803.3,37.25,44.4,high emitter
2018,FCA,KOKOMO,IN,46900,1001 E. BOULEVARD,34454.1,16.25,19.37,low emitter
2018,FCA,KOKOMO,IN,46900,2401 S REED RD,19918.8,9.5,11.32,low emitter
2018,FCA,STERLING HTS,MI,48300,38111 VAN DYKE,91962.2,43.25,51.55,high emitter
2018,FCA,STERLING HEIGHTS,MI,48300,7150 METROPOLITAN PARKWAY,507.4,0.25,0.3,low emitter
2018,FCA,STERLING HEIGHTS,MI,48300,35777 VAN DYKE,9217.3,4.25,5.07,low emitter
2018,FCA,TOLEDO,OH,43600,4400 CHRYSLER DRIVE,90535.4,42.75,50.96,high emitter
2018,FCA,WARREN,MI,48000,22800 MOUND RD.,7005.2,3.25,3.87,low emitter
2018,FCA,WARREN,MI,48000,21500 MOUND ROAD,99110.5,46.75,55.73,high emitter
2018,FCA,Warren,MI,48000,21035 Sherwood Avenue,6103.6,3,3.58,low emitter
